specialist_id,first_name,last_name,gender,specialization,clinic_id,qualification,experience_years,consultation_fee
SP0108,Riya,Verma,Female,Diabetologist,C007,MBBS,29,994.23
SP0109,Falguni,Mishra,Female,Nephrologist,C001,"MBBS, MD",5,809.3
SP0110,Arvind,Bansal,Male,Pulmonologist,C009,"MBBS, MD",12,920.0
SP0111,Amit,Mishra,Male,Endocrinologist,C002,MBBS,8,1142.53
SP0112,Nikhil,Menon,Male,Pulmonologist,C001,MBBS,15,501.13
SP0113,Riya,Desai,Female,Gynecologist,C011,MBBS,10,266.52
SP0114,Swati,Malhotra,Female,Dietitian,C002,MBBS,26,1081.1
SP0115,Ojasvi,Choudhary,Female,Nephrologist,C012,"MD, DNB",6,922.19
SP0116,Sneha,Bhatia,Female,Psychiatrist,C016,"BDS, MDS",1,696.05
SP0117,Falguni,Kulkarni,Female,Cardiologist,C011,"MBBS, MD",30,276.83
SP0118,Mansi,Desai,Female,Diabetologist,C001,MBBS,12,591.0
SP0119,Kirti,Agarwal,Female,Gynecologist,C009,"BDS, MDS",6,822.89
SP0120,Aryan,Khanna,Male,Nephrologist,C018,"MBBS, MD",3,884.84
SP0121,Rohan,Gupta,Male,Physiotherapist,C007,"MBBS, MD",12,619.33
SP0122,Shweta,Ahluwalia,Female,Endocrinologist,C002,MBBS,18,488.62
SP0123,Anjali,Choudhary,Female,Physiotherapist,C001,"MD, DNB",11,431.13
SP0124,Diya,Tiwari,Female,Pulmonologist,C006,MBBS,29,924.65
SP0125,Aryan,Verma,Male,Dermatologist,C002,"MD, DNB",12,695.84
SP0126,Arvind,Khanna,Male,Physiotherapist,C012,"MBBS, DPM",9,484.88
SP0127,Amit,Bansal,Male,Psychiatrist,C014,"MBBS, MD",27,818.34
SP0128,Rahul,Bhatia,Male,Dietitian,C007,"MD, DNB",16,615.24
SP0129,Yash,Choudhary,Male,Nephrologist,C008,MBBS,30,656.71
SP0130,Nisha,Shah,Female,Nephrologist,C007,"BDS, MDS",8,1094.24
SP0131,Esha,Verma,Female,Diabetologist,C007,"MD, DNB",15,995.66
SP0132,Sanjay,Rao,Male,Diabetologist,C002,MBBS,2,1189.72
SP0133,Sanya,Ahluwalia,Female,Pediatrician,C001,"MBBS, MD",3,411.41
SP0134,Vikram,Mehta,Male,Cardiologist,C003,"MBBS, MD",1,937.1
SP0135,Priyal,Ahluwalia,Female,Nephrologist,C012,"MD, DNB",6,672.84
SP0136,Ankit,Malhotra,Male,Orthopedic,C007,"MBBS, DPM",15,554.61
SP0137,Manish,Malhotra,Male,Diabetologist,C010,"MD, DNB",20,290.57
SP0138,Aryan,Chopra,Male,General Physician,C017,"MBBS, DPM",11,961.37
SP0139,Yash,Iyer,Male,Cardiologist,C009,"MBBS, DPM",14,957.8
SP0140,Amit,Malhotra,Male,Orthopedic,C004,MBBS,7,373.85
SP0141,Riya,Gupta,Female,Dietitian,C009,"MBBS, MD",26,480.03
SP0142,Aryan,Kulkarni,Male,Orthopedic,C015,"MBBS, DPM",9,956.88
SP0143,Esha,Iyer,Female,Dermatologist,C018,"BDS, MDS",18,577.06
SP0144,Ojasvi,Bansal,Female,Pulmonologist,C017,"MBBS, DPM",28,353.28
SP0145,Vikram,Ahluwalia,Male,Dentist,C003,MBBS,20,473.73
SP0146,Rakesh,Reddy,Male,Pediatrician,C010,"MBBS, MD",10,615.9
SP0147,Isha,Verma,Female,Cardiologist,C007,"MBBS, DPM",24,489.46
SP0148,Arvind,Bhatia,Male,Pulmonologist,C016,"MD, DNB",19,1059.1
SP0149,Gaurav,Desai,Male,Physiotherapist,C008,MBBS,22,514.29
SP0150,Yash,Menon,Male,Dietitian,C004,"BDS, MDS",23,793.68
SP0151,Nisha,Bhatia,Female,Psychiatrist,C015,MBBS,7,1128.95
SP0152,Ojasvi,Sharma,Female,ENT Specialist,C015,"MD, DNB",1,1057.65
SP0153,Kabir,Patel,Male,Pulmonologist,C005,"MBBS, DPM",18,508.56
SP0154,Arvind,Patel,Male,Pulmonologist,C017,"MBBS, DPM",20,422.6
SP0155,Preeti,Kapoor,Female,Nephrologist,C001,"MBBS, DPM",4,707.76
SP0156,Meghna,Chawla,Female,ENT Specialist,C013,"MBBS, DPM",29,743.7
SP0157,Neha,Kulkarni,Female,Cardiologist,C015,"MBBS, DPM",28,808.42
SP0158,Shweta,Desai,Female,Gynecologist,C004,"MBBS, MD",21,1154.07
SP0159,Ishaan,Bansal,Male,Diabetologist,C010,"MBBS, DPM",7,1007.41
SP0160,Priyal,Verma,Female,Psychiatrist,C007,"BDS, MDS",27,885.62
SP0161,Sanya,Tiwari,Female,General Physician,C006,MBBS,19,332.35
SP0162,Anjali,Rao,Female,Pediatrician,C005,MBBS,19,656.09
SP0163,Priyal,Mehta,Female,Cardiologist,C003,"MD, DNB",26,713.8
SP0164,Shaurya,Menon,Male,Dentist,C003,"MBBS, MD",13,484.63
SP0165,Diya,Chopra,Female,Nephrologist,C018,"MD, DNB",19,660.16
SP0166,Nidhi,Malhotra,Female,Orthopedic,C005,MBBS,5,637.64
SP0167,Nisha,Desai,Female,Diabetologist,C013,"MD, DNB",3,839.8
SP0168,Nikhil,Nair,Male,ENT Specialist,C018,"MBBS, MD",15,894.09
SP0169,Falguni,Verma,Female,Physiotherapist,C007,"MBBS, MD",15,810.76
SP0170,Diya,Sharma,Female,Endocrinologist,C008,"MBBS, MD",8,756.16
SP0171,Anjali,Kapoor,Female,Physiotherapist,C008,"MD, DNB",13,867.68
SP0172,Mansi,Gupta,Female,Dietitian,C016,"MBBS, MD",25,438.03
SP0173,Priyal,Tiwari,Female,Dermatologist,C001,"MD, DNB",18,554.99
SP0174,Tanvi,Mehta,Female,Endocrinologist,C016,"MD, DNB",15,600.88
SP0175,Priyal,Chawla,Female,Diabetologist,C006,"MBBS, MD",3,1032.58
SP0176,Rakesh,Tiwari,Male,Gynecologist,C017,"MD, DNB",15,284.35
SP0177,Puneet,Malhotra,Male,Dermatologist,C010,"BDS, MDS",11,284.66
SP0178,Garima,Nair,Female,Dietitian,C013,"MBBS, MD",7,818.02
SP0179,Puneet,Menon,Male,Dermatologist,C007,MBBS,23,990.64
SP0180,Swati,Nair,Female,ENT Specialist,C004,"BDS, MDS",23,820.3
SP0181,Amit,Mishra,Male,ENT Specialist,C005,"BDS, MDS",8,1024.09
SP0182,Nidhi,Kapoor,Female,Physiotherapist,C005,"MBBS, MD",9,515.24
SP0183,Priyal,Chopra,Female,Pediatrician,C015,"MBBS, DPM",28,1062.41
SP0184,Rakesh,Nair,Male,Dentist,C002,"MD, DNB",8,863.44
SP0185,Gaurav,Sharma,Male,General Physician,C005,"BDS, MDS",17,258.0
SP0186,Priyal,Ahluwalia,Female,Dentist,C013,"MD, DNB",28,467.84
SP0187,Manish,Reddy,Male,Diabetologist,C006,"MBBS, DPM",29,384.18
SP0188,Rohan,Verma,Male,ENT Specialist,C012,"BDS, MDS",2,560.64
SP0189,Nisha,Kapoor,Female,Diabetologist,C003,MBBS,22,301.22
SP0190,Sameer,Gupta,Male,Dietitian,C014,"MBBS, DPM",4,536.16
SP0191,Vihaan,Iyer,Male,Endocrinologist,C005,MBBS,27,1166.83
SP0192,Gaurav,Menon,Male,Psychiatrist,C014,"MBBS, MD",7,1085.52
SP0193,Mansi,Malhotra,Female,Gynecologist,C018,"MBBS, DPM",9,1095.66
SP0194,Sanya,Bhatia,Female,Cardiologist,C001,MBBS,20,287.8
SP0195,Manish,Menon,Male,Orthopedic,C017,MBBS,29,810.29
SP0196,Mansi,Iyer,Female,Dermatologist,C007,"BDS, MDS",20,569.95
SP0197,Sanya,Mehta,Female,General Physician,C002,"MD, DNB",13,490.9
SP0198,Rajat,Khanna,Male,Diabetologist,C003,MBBS,19,299.01
SP0199,Priyal,Reddy,Female,Gynecologist,C007,MBBS,8,927.08
SP0200,Nikhil,Verma,Male,Dietitian,C002,"MBBS, MD",11,278.62
SP0201,Charu,Agarwal,Female,Diabetologist,C012,MBBS,18,462.46
SP0202,Shweta,Tiwari,Female,Nephrologist,C009,MBBS,29,1036.48
SP0203,Pooja,Sharma,Female,Diabetologist,C003,"MBBS, MD",20,894.5
SP0204,Shaurya,Chawla,Male,Pediatrician,C006,MBBS,18,786.7
SP0205,Shaurya,Kulkarni,Male,Diabetologist,C008,"MD, DNB",15,1092.28
SP0206,Kavita,Agarwal,Female,Pediatrician,C007,"BDS, MDS",10,613.81
SP0207,Tanvi,Nair,Female,Nephrologist,C017,MBBS,24,712.51
SP0208,Manish,Chopra,Male,Dietitian,C018,"BDS, MDS",28,880.49
SP0209,Charu,Menon,Female,Psychiatrist,C010,"MD, DNB",12,442.96
SP0210,Rajat,Mehta,Male,Psychiatrist,C002,"MD, DNB",14,889.48
SP0211,Kabir,Iyer,Male,Nephrologist,C004,"BDS, MDS",6,621.25
SP0212,Isha,Iyer,Female,Endocrinologist,C002,"MBBS, MD",18,718.98
SP0213,Amit,Mehta,Male,General Physician,C011,"BDS, MDS",17,470.01
SP0214,Shweta,Chawla,Female,Psychiatrist,C011,"MBBS, DPM",27,623.76
SP0215,Sanjay,Iyer,Male,Dermatologist,C007,"MBBS, DPM",7,874.37
SP0216,Arvind,Rao,Male,ENT Specialist,C017,MBBS,23,1198.17
SP0217,Rajat,Malhotra,Male,Nephrologist,C001,"MD, DNB",11,502.09
SP0218,Nikhil,Menon,Male,Gynecologist,C010,"BDS, MDS",30,1084.57
SP0219,Gaurav,Khanna,Male,Pediatrician,C009,"MBBS, DPM",3,794.39
SP0220,Gaurav,Kulkarni,Male,General Physician,C016,"MBBS, DPM",29,349.51
